# Program:featureCounts v2.0.6; Command:"featureCounts" "-p" "-B" "-C" "-P" "--fracOverlap" "0.5" "-T" "4" "-s" "2" "-a" "all.gff" "-t" "CDS" "-g" "locus_tag" "-o" "SRX6700169_cds.txt" "SRX6700169.bam" 
Geneid	Chr	Start	End	Strand	Length	SRX6700169.bam
ZMO2_RS00005	NZ_CP023677.1	147	2516	+	2370	2121
ZMO2_RS00010	NZ_CP023677.1	2538	3653	+	1116	3624
ZMO2_RS00015	NZ_CP023677.1	3697	4329	-	633	554
ZMO2_RS00020	NZ_CP023677.1	4340	5770	-	1431	3749
ZMO2_RS00025	NZ_CP023677.1	5781	6689	-	909	3152
ZMO2_RS00030	NZ_CP023677.1	6700	8115	-	1416	2652
ZMO2_RS00035	NZ_CP023677.1	8386	9120	-	735	14297
ZMO2_RS00040	NZ_CP023677.1	9131	10843	-	1713	13339
ZMO2_RS00045	NZ_CP023677.1	10843	12663	-	1821	8233
ZMO2_RS00050	NZ_CP023677.1	13006	13716	+	711	2486
ZMO2_RS00055	NZ_CP023677.1	13757	14473	-	717	9240
ZMO2_RS00060	NZ_CP023677.1	14548	15729	-	1182	1270
ZMO2_RS00065	NZ_CP023677.1	15736	16365	-	630	2074
ZMO2_RS00070	NZ_CP023677.1	16367	17080	-	714	3298
ZMO2_RS00075	NZ_CP023677.1	17333	18370	+	1038	573890
ZMO2_RS00080	NZ_CP023677.1	18367	18939	+	573	391711
ZMO2_RS00085	NZ_CP023677.1	18995	20401	+	1407	44903
ZMO2_RS00090	NZ_CP023677.1	20553	21215	+	663	2871
ZMO2_RS00095	NZ_CP023677.1	21212	22978	+	1767	6453
ZMO2_RS00100	NZ_CP023677.1	23204	23800	-	597	8315
ZMO2_RS00105	NZ_CP023677.1	23797	25239	-	1443	30794
ZMO2_RS00110	NZ_CP023677.1	25239	25982	-	744	27527
ZMO2_RS00115	NZ_CP023677.1	26353	26829	-	477	1069
ZMO2_RS00120	NZ_CP023677.1	26925	27854	+	930	714
ZMO2_RS00125	NZ_CP023677.1	28029	28976	+	948	978
ZMO2_RS00130	NZ_CP023677.1	29293	30897	+	1605	6253
ZMO2_RS00135	NZ_CP023677.1	31083	32006	+	924	1101
ZMO2_RS00140	NZ_CP023677.1	32036	33766	-	1731	21542
ZMO2_RS00145	NZ_CP023677.1	34224	34631	+	408	3936
ZMO2_RS00150	NZ_CP023677.1	34635	37055	-	2421	7968
ZMO2_RS00155	NZ_CP023677.1	37403	37837	-	435	4151
ZMO2_RS00160	NZ_CP023677.1	38017	38619	+	603	4277
ZMO2_RS00165	NZ_CP023677.1	38623	38961	-	339	9264
ZMO2_RS00170	NZ_CP023677.1	38961	39422	-	462	28821
ZMO2_RS00175	NZ_CP023677.1	39623	40225	-	603	106976
ZMO2_RS00180	NZ_CP023677.1	40338	41042	-	705	12521
ZMO2_RS00185	NZ_CP023677.1	41050	41643	-	594	1375
ZMO2_RS00190	NZ_CP023677.1	41656	42537	-	882	2823
ZMO2_RS00195	NZ_CP023677.1	42534	43130	-	597	2258
ZMO2_RS00200	NZ_CP023677.1	43594	45351	+	1758	6504
ZMO2_RS00205	NZ_CP023677.1	45398	46003	-	606	300
ZMO2_RS00210	NZ_CP023677.1	46171	47082	+	912	1011
ZMO2_RS00215	NZ_CP023677.1	47274	48425	-	1152	874
ZMO2_RS00220	NZ_CP023677.1	48422	49228	-	807	575
