# Program:featureCounts v2.0.6; Command:"featureCounts" "-p" "-B" "-C" "-P" "--fracOverlap" "0.5" "-T" "4" "-s" "2" "-a" "all.gff" "-t" "CDS" "-g" "locus_tag" "-o" "SRX6700163_cds.txt" "SRX6700163.bam" 
Geneid	Chr	Start	End	Strand	Length	SRX6700163.bam
ZMO2_RS00005	NZ_CP023677.1	147	2516	+	2370	1501
ZMO2_RS00010	NZ_CP023677.1	2538	3653	+	1116	2067
ZMO2_RS00015	NZ_CP023677.1	3697	4329	-	633	2007
ZMO2_RS00020	NZ_CP023677.1	4340	5770	-	1431	5251
ZMO2_RS00025	NZ_CP023677.1	5781	6689	-	909	2051
ZMO2_RS00030	NZ_CP023677.1	6700	8115	-	1416	2381
ZMO2_RS00035	NZ_CP023677.1	8386	9120	-	735	10674
ZMO2_RS00040	NZ_CP023677.1	9131	10843	-	1713	14980
ZMO2_RS00045	NZ_CP023677.1	10843	12663	-	1821	8437
ZMO2_RS00050	NZ_CP023677.1	13006	13716	+	711	1058
ZMO2_RS00055	NZ_CP023677.1	13757	14473	-	717	1298
ZMO2_RS00060	NZ_CP023677.1	14548	15729	-	1182	3523
ZMO2_RS00065	NZ_CP023677.1	15736	16365	-	630	5811
ZMO2_RS00070	NZ_CP023677.1	16367	17080	-	714	6416
ZMO2_RS00075	NZ_CP023677.1	17333	18370	+	1038	72774
ZMO2_RS00080	NZ_CP023677.1	18367	18939	+	573	35338
ZMO2_RS00085	NZ_CP023677.1	18995	20401	+	1407	33655
ZMO2_RS00090	NZ_CP023677.1	20553	21215	+	663	21799
ZMO2_RS00095	NZ_CP023677.1	21212	22978	+	1767	55074
ZMO2_RS00100	NZ_CP023677.1	23204	23800	-	597	9458
ZMO2_RS00105	NZ_CP023677.1	23797	25239	-	1443	16738
ZMO2_RS00110	NZ_CP023677.1	25239	25982	-	744	20282
ZMO2_RS00115	NZ_CP023677.1	26353	26829	-	477	375
ZMO2_RS00120	NZ_CP023677.1	26925	27854	+	930	2772
ZMO2_RS00125	NZ_CP023677.1	28029	28976	+	948	1528
ZMO2_RS00130	NZ_CP023677.1	29293	30897	+	1605	40462
ZMO2_RS00135	NZ_CP023677.1	31083	32006	+	924	2494
ZMO2_RS00140	NZ_CP023677.1	32036	33766	-	1731	3151
ZMO2_RS00145	NZ_CP023677.1	34224	34631	+	408	2046
ZMO2_RS00150	NZ_CP023677.1	34635	37055	-	2421	13199
ZMO2_RS00155	NZ_CP023677.1	37403	37837	-	435	2056
ZMO2_RS00160	NZ_CP023677.1	38017	38619	+	603	8963
ZMO2_RS00165	NZ_CP023677.1	38623	38961	-	339	5476
ZMO2_RS00170	NZ_CP023677.1	38961	39422	-	462	13345
ZMO2_RS00175	NZ_CP023677.1	39623	40225	-	603	32061
