# Program:featureCounts v2.0.6; Command:"featureCounts" "-p" "-B" "-C" "-P" "--fracOverlap" "0.5" "-T" "4" "-s" "2" "-a" "all.gff" "-t" "CDS" "-g" "locus_tag" "-o" "SRX3316536_cds.txt" "SRX3316536.bam" 
Geneid	Chr	Start	End	Strand	Length	SRX3316536.bam
ZMO1_ZMO0001	CP023715.1	147	2516	+	2370	6516
ZMO1_ZMO0002	CP023715.1	2538	3653	+	1116	1556
ZMO1_ZMO0003	CP023715.1	3697	4329	-	633	4285
ZMO1_ZMO0004	CP023715.1	4340	5770	-	1431	38354
ZMO1_ZMO0005	CP023715.1	5781	6689	-	909	32221
ZMO1_ZMO0006	CP023715.1	6700	8115	-	1416	60987
ZMO1_ZMO0007	CP023715.1	8386	9120	-	735	92787
ZMO1_ZMO0008	CP023715.1	9131	10843	-	1713	131107
ZMO1_ZMO0009	CP023715.1	10843	12663	-	1821	221088
ZMO1_ZMO0010	CP023715.1	13006	13716	+	711	6520
ZMO1_ZMO0011	CP023715.1	13757	14371	-	615	14825
ZMO1_ZMO0012	CP023715.1	14548	15729	-	1182	2441
ZMO1_ZMO0013	CP023715.1	15736	16365	-	630	2223
ZMO1_ZMO0014	CP023715.1	16367	17080	-	714	3939
ZMO1_ZMO0015	CP023715.1	17333	18370	+	1038	263789
ZMO1_ZMO0016	CP023715.1	18367	18939	+	573	140694
ZMO1_ZMO0017	CP023715.1	18995	20401	+	1407	35121
ZMO1_ZMO0018	CP023715.1	20553	21215	+	663	3857
ZMO1_ZMO0019	CP023715.1	21212	22978	+	1767	9808
ZMO1_ZMO0020	CP023715.1	23204	23800	-	597	1372
ZMO1_ZMO0021	CP023715.1	23797	25239	-	1443	4386
ZMO1_ZMO0022	CP023715.1	25239	25982	-	744	4134
ZMO1_ZMO0023	CP023715.1	26353	26829	-	477	1771
ZMO1_ZMO0025	CP023715.1	26925	27854	+	930	1093
ZMO1_ZMO0026	CP023715.1	28029	28976	+	948	711
ZMO1_ZMO0027	CP023715.1	29293	30897	+	1605	6240
ZMO1_ZMO0028	CP023715.1	31083	32006	+	924	2708
ZMO1_ZMO0029	CP023715.1	32036	33934	-	1899	32666
ZMO1_ZMO0030	CP023715.1	34224	34631	+	408	8232
ZMO1_ZMO0031	CP023715.1	34635	37055	-	2421	7110
ZMO1_ZMO0033	CP023715.1	37403	37837	-	435	8369
ZMO1_ZMO0035	CP023715.1	38017	38619	+	603	4202
ZMO1_ZMO0036	CP023715.1	38623	38961	-	339	8076
ZMO1_ZMO0037	CP023715.1	38961	39422	-	462	21333
ZMO1_ZMO0038	CP023715.1	39623	40225	-	603	96821
ZMO1_ZMO0039	CP023715.1	40338	41042	-	705	11513
ZMO1_ZMO0040	CP023715.1	41050	41643	-	594	1117
ZMO1_ZMO0041	CP023715.1	41656	42537	-	882	4330
ZMO1_ZMO0043	CP023715.1	42534	43130	-	597	4513
ZMO1_ZMO0044	CP023715.1	43594	45351	+	1758	8747
ZMO1_ZMO0047	CP023715.1	45398	46003	-	606	440
ZMO1_ZMO0050	CP023715.1	46171	47082	+	912	2255
ZMO1_ZMO0052	CP023715.1	47274	48425	-	1152	1081
ZMO1_ZMO0053	CP023715.1	48422	49228	-	807	622
ZMO1_ZMO0054	CP023715.1	49348	49857	+	510	1564
ZMO1_ZMO0055	CP023715.1	49994	50779	-	786	22862
ZMO1_ZMO0056	CP023715.1	50969	52792	-	1824	25005
ZMO1_ZMO0057	CP023715.1	52878	53438	-	561	7243
ZMO1_ZMO0059	CP023715.1	53615	54763	+	1149	6272
ZMO1_ZMO0060	CP023715.1	54811	55080	-	270	1784
ZMO1_ZMO0061	CP023715.1	55123	56424	-	1302	10307
ZMO1_ZMO0062	CP023715.1	56561	57529	-	969	21849
ZMO1_ZMO0064	CP023715.1	57796	59457	-	1662	7872
ZMO1_ZMO0066	CP023715.1	59627	59896	+	270	531
ZMO1_ZMO0068	CP023715.1	60237	61364	+	1128	10781
ZMO1_ZMO0069	CP023715.1	61630	62067	+	438	2495
ZMO1_ZMO0070	CP023715.1	62217	62864	+	648	20012
ZMO1_ZMO0072	CP023715.1	63125	64486	-	1362	11867
ZMO1_ZMO0073	CP023715.1	64495	65379	-	885	17176
ZMO1_ZMO0074	CP023715.1	65434	65964	-	531	6037
ZMO1_ZMO0075	CP023715.1	65951	67042	-	1092	12714
ZMO1_ZMO0077	CP023715.1	67151	68488	-	1338	8492
ZMO1_ZMO0078	CP023715.1	68586	69119	-	534	20844
ZMO1_ZMO0079	CP023715.1	69266	69631	-	366	12261
ZMO1_ZMO0080	CP023715.1	69776	70327	-	552	3627
ZMO1_ZMO0081	CP023715.1	70349	71407	-	1059	3752
ZMO1_ZMO0082	CP023715.1	71404	72276	-	873	3199
ZMO1_ZMO0083	CP023715.1	72273	74603	-	2331	16750
ZMO1_ZMO0084	CP023715.1	74614	74883	-	270	2206
ZMO1_ZMO0085	CP023715.1	75057	76370	-	1314	6023
ZMO1_ZMO0086	CP023715.1	76803	78968	-	2166	20510
ZMO1_ZMO0087	CP023715.1	79111	79593	-	483	3303
ZMO1_ZMO0088	CP023715.1	79719	80423	-	705	591
ZMO1_ZMO0089	CP023715.1	80632	81324	-	693	626
ZMO1_ZMO0090	CP023715.1	81761	82558	-	798	3925
ZMO1_ZMO0091	CP023715.1	82625	82780	+	156	189
ZMO1_ZMO0092	CP023715.1	82881	83645	+	765	2119
ZMO1_ZMO0094	CP023715.1	83861	84868	+	1008	7775
ZMO1_ZMO0095	CP023715.1	84951	85172	-	222	7204
ZMO1_ZMO0096	CP023715.1	85618	86169	-	552	8573
ZMO1_ZMO2042	CP023715.1	86442	86648	+	207	297
ZMO1_ZMO0099	CP023715.1	86671	87939	+	1269	2225
ZMO1_ZMO0100	CP023715.1	88004	88384	-	381	1656
ZMO1_ZMO0101	CP023715.1	88491	89555	+	1065	2424
ZMO1_ZMO0102	CP023715.1	89582	89773	+	192	457
ZMO1_ZMO0103	CP023715.1	89985	91547	+	1563	55847
ZMO1_ZMO0105	CP023715.1	91652	93106	+	1455	165766
ZMO1_ZMO0106	CP023715.1	93103	93681	+	579	41136
ZMO1_ZMO0107	CP023715.1	93746	94555	-	810	6350
ZMO1_ZMO0108	CP023715.1	94613	94939	-	327	4049
ZMO1_ZMO0109	CP023715.1	95277	96716	+	1440	45151
ZMO1_ZMO0110	CP023715.1	96713	97702	+	990	30522
ZMO1_ZMO0111	CP023715.1	97849	99645	-	1797	5900
ZMO1_ZMO0112	CP023715.1	99841	100191	+	351	11990
ZMO1_ZMO0113	CP023715.1	100924	102387	+	1464	35604
ZMO1_ZMO0114	CP023715.1	102404	103015	+	612	8514
ZMO1_ZMO0115	CP023715.1	102981	103817	+	837	8271
ZMO1_ZMO0116	CP023715.1	104017	104454	+	438	4291
ZMO1_ZMO0117	CP023715.1	104521	106158	+	1638	19006
ZMO1_ZMO0119	CP023715.1	106317	107483	+	1167	7242
ZMO1_ZMO0120	CP023715.1	107644	108711	+	1068	14236
ZMO1_ZMO0121	CP023715.1	108979	110328	+	1350	9051
ZMO1_ZMO0122	CP023715.1	110563	110850	+	288	12088
ZMO1_ZMO0124	CP023715.1	111117	112700	-	1584	9498
ZMO1_ZMO0125	CP023715.1	112713	113186	-	474	5262
ZMO1_ZMO0127	CP023715.1	114593	115552	-	960	9942
ZMO1_ZMO0128	CP023715.1	115570	118062	-	2493	12885
ZMO1_ZMO0130	CP023715.1	118385	119179	-	795	1405
ZMO1_ZMO0131	CP023715.1	119337	120281	-	945	3860
ZMO1_ZMO0132	CP023715.1	120789	121607	+	819	1255
ZMO1_ZMO0133	CP023715.1	121838	122560	+	723	1086
ZMO1_ZMO2040	CP023715.1	122793	124106	+	1314	1421
ZMO1_ZMO2041	CP023715.1	124244	125068	+	825	25444
ZMO1_ZMO0134	CP023715.1	125251	125751	+	501	672
ZMO1_ZMO0135	CP023715.1	125859	126560	+	702	1719
ZMO1_ZMO0136	CP023715.1	126654	127370	+	717	1262
ZMO1_ZMO0137	CP023715.1	127570	128826	+	1257	2631
ZMO1_ZMO0139	CP023715.1	128986	129816	-	831	6339
ZMO1_ZMO0140	CP023715.1	129882	130361	-	480	5015
ZMO1_ZMO0142	CP023715.1	130700	131398	+	699	7355
ZMO1_ZMO0143	CP023715.1	131416	132375	+	960	12213
ZMO1_ZMO0144	CP023715.1	132440	134032	+	1593	26288
ZMO1_ZMO0145	CP023715.1	134055	135728	+	1674	9692
ZMO1_ZMO0148	CP023715.1	136393	137199	-	807	8180
ZMO1_ZMO0149	CP023715.1	137384	138079	-	696	4176
ZMO1_ZMO0150	CP023715.1	138159	138785	-	627	7918
ZMO1_ZMO0152	CP023715.1	139052	140479	-	1428	238170
ZMO1_ZMO2043	CP023715.1	140799	141038	+	240	5370
ZMO1_ZMO0153	CP023715.1	141493	142242	+	750	6995
ZMO1_ZMO0154	CP023715.1	142277	142780	+	504	2663
ZMO1_ZMO0155	CP023715.1	142822	143463	+	642	1253
ZMO1_ZMO0156	CP023715.1	143523	143885	-	363	5875
ZMO1_ZMO0157	CP023715.1	144094	145023	-	930	6732
ZMO1_ZMO0158	CP023715.1	145169	146212	+	1044	6719
ZMO1_ZMO0160	CP023715.1	146392	146892	+	501	4733
ZMO1_ZMO0161	CP023715.1	146900	147610	+	711	9031
ZMO1_ZMO0162	CP023715.1	147610	148137	+	528	4862
ZMO1_ZMO0164	CP023715.1	148147	149226	+	1080	5517
ZMO1_ZMO0165	CP023715.1	149280	150656	+	1377	13778
ZMO1_ZMO0166	CP023715.1	150783	151313	+	531	76441
ZMO1_ZMO2000	CP023715.1	152523	152939	-	417	1634
ZMO1_ZMO0169	CP023715.1	153232	153975	-	744	8758
ZMO1_ZMO2044	CP023715.1	154131	154574	+	444	5506
ZMO1_ZMO0172	CP023715.1	157812	159626	+	1815	16242
ZMO1_ZMO0173	CP023715.1	160144	160545	-	402	8667
ZMO1_ZMO0174	CP023715.1	160738	161130	-	393	2179
ZMO1_ZMO0175	CP023715.1	161341	161622	-	282	390
ZMO1_ZMO0176	CP023715.1	161837	163828	+	1992	31456
ZMO1_ZMO0177	CP023715.1	163878	164891	+	1014	293867
ZMO1_ZMO0178	CP023715.1	165114	166307	+	1194	92352
ZMO1_ZMO0179	CP023715.1	167076	167990	+	915	54046
ZMO1_ZMO0180	CP023715.1	168147	169280	-	1134	16293
ZMO1_ZMO0182	CP023715.1	169658	171052	+	1395	6693
ZMO1_ZMO0183	CP023715.1	171346	173028	-	1683	25618
ZMO1_ZMO0184	CP023715.1	173737	173976	+	240	6727
ZMO1_ZMO0186	CP023715.1	174197	175747	+	1551	43176
ZMO1_ZMO0187	CP023715.1	175840	177168	+	1329	30082
ZMO1_ZMO0188	CP023715.1	177747	180113	+	2367	34599
ZMO1_ZMO0189	CP023715.1	180139	181500	-	1362	17734
ZMO1_ZMO0190	CP023715.1	181591	182508	-	918	6962
ZMO1_ZMO0191	CP023715.1	182842	183621	-	780	7300
ZMO1_ZMO0192	CP023715.1	183652	185010	-	1359	13632
ZMO1_ZMO0193	CP023715.1	185346	188084	-	2739	53836
ZMO1_ZMO0195	CP023715.1	188615	189634	+	1020	3170
ZMO1_ZMO0197	CP023715.1	189846	192425	+	2580	11999
ZMO1_ZMO0198	CP023715.1	192536	193663	+	1128	8794
ZMO1_ZMO0199	CP023715.1	193716	194369	-	654	9721
