# Program:featureCounts v2.0.6; Command:"featureCounts" "--fracOverlap" "0.5" "-T" "4" "-s" "2" "-a" "all.gff" "-t" "CDS" "-g" "locus_tag" "-o" "SRX5252035_cds.txt" "SRX5252035.bam" 
Geneid	Chr	Start	End	Strand	Length	SRX5252035.bam
ZMO1_ZMO0001	CP023715.1	147	2516	+	2370	1612
ZMO1_ZMO0002	CP023715.1	2538	3653	+	1116	1162
ZMO1_ZMO0003	CP023715.1	3697	4329	-	633	689
ZMO1_ZMO0004	CP023715.1	4340	5770	-	1431	1937
ZMO1_ZMO0005	CP023715.1	5781	6689	-	909	1276
ZMO1_ZMO0006	CP023715.1	6700	8115	-	1416	2437
ZMO1_ZMO0007	CP023715.1	8386	9120	-	735	3956
ZMO1_ZMO0008	CP023715.1	9131	10843	-	1713	5488
ZMO1_ZMO0009	CP023715.1	10843	12663	-	1821	5221
ZMO1_ZMO0010	CP023715.1	13006	13716	+	711	1536
ZMO1_ZMO0011	CP023715.1	13757	14371	-	615	2636
ZMO1_ZMO0012	CP023715.1	14548	15729	-	1182	1021
ZMO1_ZMO0013	CP023715.1	15736	16365	-	630	1179
ZMO1_ZMO0014	CP023715.1	16367	17080	-	714	1305
ZMO1_ZMO0015	CP023715.1	17333	18370	+	1038	11106
ZMO1_ZMO0016	CP023715.1	18367	18939	+	573	7031
ZMO1_ZMO0017	CP023715.1	18995	20401	+	1407	6866
ZMO1_ZMO0018	CP023715.1	20553	21215	+	663	3332
ZMO1_ZMO0019	CP023715.1	21212	22978	+	1767	7551
ZMO1_ZMO0020	CP023715.1	23204	23800	-	597	513
ZMO1_ZMO0021	CP023715.1	23797	25239	-	1443	1221
ZMO1_ZMO0022	CP023715.1	25239	25982	-	744	953
ZMO1_ZMO0023	CP023715.1	26353	26829	-	477	665
ZMO1_ZMO0025	CP023715.1	26925	27854	+	930	1898
ZMO1_ZMO0026	CP023715.1	28029	28976	+	948	1769
ZMO1_ZMO0027	CP023715.1	29293	30897	+	1605	4679
ZMO1_ZMO0028	CP023715.1	31083	32006	+	924	1579
ZMO1_ZMO0029	CP023715.1	32036	33934	-	1899	3075
ZMO1_ZMO0030	CP023715.1	34224	34631	+	408	1278
ZMO1_ZMO0031	CP023715.1	34635	37055	-	2421	2231
ZMO1_ZMO0033	CP023715.1	37403	37837	-	435	767
ZMO1_ZMO0035	CP023715.1	38017	38619	+	603	2359
ZMO1_ZMO0036	CP023715.1	38623	38961	-	339	1603
ZMO1_ZMO0037	CP023715.1	38961	39422	-	462	3510
ZMO1_ZMO0038	CP023715.1	39623	40225	-	603	10141
ZMO1_ZMO0039	CP023715.1	40338	41042	-	705	1348
ZMO1_ZMO0040	CP023715.1	41050	41643	-	594	614
ZMO1_ZMO0041	CP023715.1	41656	42537	-	882	1444
ZMO1_ZMO0043	CP023715.1	42534	43130	-	597	728
ZMO1_ZMO0044	CP023715.1	43594	45351	+	1758	1990
ZMO1_ZMO0047	CP023715.1	45398	46003	-	606	540
ZMO1_ZMO0050	CP023715.1	46171	47082	+	912	1425
ZMO1_ZMO0052	CP023715.1	47274	48425	-	1152	846
ZMO1_ZMO0053	CP023715.1	48422	49228	-	807	601
ZMO1_ZMO0054	CP023715.1	49348	49857	+	510	902
ZMO1_ZMO0055	CP023715.1	49994	50779	-	786	886
ZMO1_ZMO0056	CP023715.1	50969	52792	-	1824	8311
ZMO1_ZMO0057	CP023715.1	52878	53438	-	561	2019
ZMO1_ZMO0059	CP023715.1	53615	54763	+	1149	1591
ZMO1_ZMO0060	CP023715.1	54811	55080	-	270	936
ZMO1_ZMO0061	CP023715.1	55123	56424	-	1302	3916
ZMO1_ZMO0062	CP023715.1	56561	57529	-	969	3235
ZMO1_ZMO0064	CP023715.1	57796	59457	-	1662	1747
ZMO1_ZMO0066	CP023715.1	59627	59896	+	270	115
