Sample	reads_processed	not_aligned_percentage	reads_aligned	reads_aligned_percentage	not_aligned
SRX6700162	37101464.0	1.87	36409415.0	98.13	692049.0
SRX6700163	33936848.0	1.78	33331208.0	98.22	605640.0
SRX6700164	41397919.0	1.79	40657173.0	98.21	740746.0
SRX6700165	42288243.0	1.69	41572679.0	98.31	715564.0
SRX6700166	36483590.0	2.45	35588774.0	97.55	894816.0
SRX6700168	39717574.0	2.21	38840341.0	97.79	877233.0
SRX6700169	35086281.0	2.9	34069161.0	97.1	1017120.0
SRX6700170	40981955.0	2.21	40076655.0	97.79	905300.0
SRX6700171	44265043.0	2.59	43119299.0	97.41	1145744.0
SRX6700172	40166194.0	3.26	38857378.0	96.74	1308816.0
SRX6700173	34976537.0	3.14	33879089.0	96.86	1097448.0
SRX6700174	40903020.0	2.17	40017317.0	97.83	885703.0
SRX6700175	36455366.0	1.88	35768721.0	98.12	686645.0
SRX6700176	41172219.0	2.0	40347324.0	98.0	824895.0
SRX6700177	29225425.0	1.95	28655894.0	98.05	569531.0
SRX6700178	29193538.0	2.0	28609531.0	98.0	584007.0
SRX6700179	40257068.0	11.79	35511217.0	88.21	4745851.0
SRX6700180	47992031.0	21.03	37900262.0	78.97	10091769.0
SRX6700181	33734197.0	1.81	33124717.0	98.19	609480.0
SRX6700182	43872257.0	14.46	37526275.0	85.54	6345982.0
SRX6700183	30100393.0	2.34	29396105.0	97.66	704288.0
SRX6700184	40000921.0	3.06	38778279.0	96.94	1222642.0
SRX6700185	38579607.0	2.42	37646852.0	97.58	932755.0
