# Program:featureCounts v2.0.6; Command:"featureCounts" "-p" "-B" "-C" "-P" "--fracOverlap" "0.5" "-T" "4" "-s" "2" "-a" "all.gff" "-t" "CDS" "-g" "locus_tag" "-o" "SRX3316741_cds.txt" "SRX3316741.bam" 
Geneid	Chr	Start	End	Strand	Length	SRX3316741.bam
ZCP4_0001	CP006818.1	520	1974	+	1455	12914
ZCP4_0002	CP006818.1	2069	3934	+	1866	27303
ZCP4_0003	CP006818.1	4350	5450	+	1101	549621
ZCP4_0004	CP006818.1	5634	6194	+	561	8430
ZCP4_0005	CP006818.1	6426	7154	+	729	49301
ZCP4_0006	CP006818.1	7245	8249	-	1005	11779
ZCP4_0007	CP006818.1	8262	9023	-	762	7817
ZCP4_0008	CP006818.1	9136	9966	+	831	28027
ZCP4_0009	CP006818.1	10032	11045	+	1014	38534
ZCP4_0010	CP006818.1	11083	12039	+	957	16324
ZCP4_0011	CP006818.1	12107	14710	+	2604	31469
ZCP4_0012	CP006818.1	14834	15679	-	846	8829
ZCP4_0014	CP006818.1	16530	17450	+	921	7846
ZCP4_0015	CP006818.1	17832	19130	+	1299	1649
ZCP4_0016	CP006818.1	19159	19773	+	615	2964
ZCP4_0017	CP006818.1	19777	20484	-	708	1331
ZCP4_0018	CP006818.1	20616	21527	+	912	1217
ZCP4_0019	CP006818.1	21668	22270	-	603	20920
ZCP4_0020	CP006818.1	22550	23164	-	615	4454
ZCP4_0021	CP006818.1	23882	26695	-	2814	45079
ZCP4_0022	CP006818.1	27020	27796	-	777	4618
ZCP4_0023	CP006818.1	27849	28655	-	807	10206
ZCP4_0024	CP006818.1	28673	28945	-	273	4070
ZCP4_0025	CP006818.1	28942	29346	-	405	8429
ZCP4_0026	CP006818.1	29354	30325	-	972	11077
ZCP4_0027	CP006818.1	30348	30839	-	492	791
ZCP4_0028	CP006818.1	30982	32619	-	1638	19525
ZCP4_0029	CP006818.1	32588	33295	-	708	12713
ZCP4_0030	CP006818.1	33572	35029	+	1458	106013
ZCP4_0031	CP006818.1	35065	36291	+	1227	17297
ZCP4_0032	CP006818.1	36500	37090	+	591	6388
ZCP4_0033	CP006818.1	37594	38316	+	723	10164
ZCP4_0034	CP006818.1	38321	39091	+	771	7471
ZCP4_0035	CP006818.1	39177	40511	+	1335	5957
ZCP4_0036	CP006818.1	40528	41397	+	870	8258
ZCP4_0037	CP006818.1	41409	42245	-	837	9331
ZCP4_0038	CP006818.1	42256	43263	-	1008	19607
ZCP4_0039	CP006818.1	43305	44720	-	1416	28775
ZCP4_0040	CP006818.1	44839	47163	-	2325	13612
ZCP4_0041	CP006818.1	47548	49032	+	1485	21445
ZCP4_0042	CP006818.1	49044	49490	+	447	1456
ZCP4_0043	CP006818.1	49583	51106	-	1524	9303
ZCP4_0044	CP006818.1	51400	52149	+	750	2666
ZCP4_0045	CP006818.1	52355	52570	+	216	11652
ZCP4_0046	CP006818.1	52699	53208	+	510	17603
ZCP4_0047	CP006818.1	53259	54113	+	855	16473
ZCP4_0048	CP006818.1	54240	54890	-	651	937
ZCP4_0049	CP006818.1	55066	57483	-	2418	1151
ZCP4_0050	CP006818.1	58120	58878	+	759	4562
ZCP4_0051	CP006818.1	58918	59571	-	654	2745
ZCP4_0052	CP006818.1	59568	60521	-	954	7079
ZCP4_0053	CP006818.1	60766	60900	-	135	1
ZCP4_0054	CP006818.1	61190	62800	+	1611	2209
ZCP4_0055	CP006818.1	62993	63241	+	249	7163
ZCP4_0056	CP006818.1	63349	64470	-	1122	1653
ZCP4_0057	CP006818.1	64876	65472	+	597	3817
ZCP4_0058	CP006818.1	65491	67128	+	1638	5951
ZCP4_0059	CP006818.1	67121	68563	+	1443	4131
ZCP4_0060	CP006818.1	68586	69710	-	1125	4343
ZCP4_0061	CP006818.1	70267	70503	+	237	106793
ZCP4_0062	CP006818.1	70693	71955	+	1263	113327
ZCP4_0063	CP006818.1	71989	72960	+	972	11383
ZCP4_0064	CP006818.1	73164	73403	-	240	3902
ZCP4_0065	CP006818.1	73436	74674	-	1239	30979
ZCP4_0066	CP006818.1	75002	76612	+	1611	6465
ZCP4_0067	CP006818.1	76662	78071	-	1410	5441
ZCP4_0068	CP006818.1	78304	79170	+	867	13183
ZCP4_0069	CP006818.1	79300	80511	-	1212	41497
ZCP4_0070	CP006818.1	80573	80821	-	249	6344
ZCP4_0071	CP006818.1	81087	82106	+	1020	2173
ZCP4_0072	CP006818.1	82185	83765	-	1581	68362
ZCP4_0073	CP006818.1	83985	84641	-	657	666
ZCP4_0074	CP006818.1	84652	85833	-	1182	1080
ZCP4_0075	CP006818.1	85871	86593	-	723	314
ZCP4_0076	CP006818.1	86594	87427	-	834	276
ZCP4_0077	CP006818.1	87372	88430	-	1059	396
ZCP4_0078	CP006818.1	88616	90868	-	2253	1002
ZCP4_0079	CP006818.1	91468	92184	+	717	7460
ZCP4_0080	CP006818.1	92181	92345	+	165	1439
ZCP4_0081	CP006818.1	92369	92809	+	441	3219
ZCP4_0082	CP006818.1	92811	94757	+	1947	9453
ZCP4_0083	CP006818.1	94754	95284	+	531	3121
ZCP4_0084	CP006818.1	95281	95709	+	429	2222
ZCP4_0085	CP006818.1	95706	96347	+	642	4018
ZCP4_0086	CP006818.1	96379	96867	+	489	7175
ZCP4_0087	CP006818.1	97098	97541	+	444	421
ZCP4_0088	CP006818.1	97831	98319	+	489	1884
ZCP4_0089	CP006818.1	98988	99113	-	126	14177
ZCP4_0090	CP006818.1	99408	100205	+	798	3211
ZCP4_0091	CP006818.1	100202	101344	+	1143	5704
ZCP4_0092	CP006818.1	101594	102280	+	687	290697
ZCP4_0093	CP006818.1	102750	103745	+	996	11624
ZCP4_0094	CP006818.1	104214	105473	+	1260	133674
ZCP4_0095	CP006818.1	105721	106206	+	486	8489
ZCP4_0096	CP006818.1	106384	108333	+	1950	29328
ZCP4_0097	CP006818.1	108385	109797	+	1413	65028
ZCP4_0098	CP006818.1	109846	111150	-	1305	4376
ZCP4_0099	CP006818.1	111393	112229	+	837	6364
ZCP4_0100	CP006818.1	112495	117828	-	5334	35399
ZCP4_0101	CP006818.1	117837	118772	-	936	6180
ZCP4_0102	CP006818.1	119027	119959	-	933	11760
ZCP4_0103	CP006818.1	119971	120954	-	984	19481
ZCP4_0105	CP006818.1	121932	123692	-	1761	5411
ZCP4_0106	CP006818.1	123841	124446	+	606	10925
ZCP4_0107	CP006818.1	124534	125529	+	996	15499
ZCP4_0108	CP006818.1	125609	126238	-	630	220898
ZCP4_0109	CP006818.1	126253	126477	-	225	67901
ZCP4_0110	CP006818.1	126498	126872	-	375	155173
ZCP4_0111	CP006818.1	127394	128329	+	936	10750
ZCP4_0112	CP006818.1	128399	129136	+	738	16391
ZCP4_0113	CP006818.1	129287	129949	+	663	9545
ZCP4_0114	CP006818.1	130102	130365	+	264	7910
ZCP4_0115	CP006818.1	130450	130908	+	459	8304
ZCP4_0116	CP006818.1	130905	131693	+	789	5231
ZCP4_0117	CP006818.1	132676	132999	+	324	44
ZCP4_0118	CP006818.1	133303	134955	-	1653	14647
ZCP4_0119	CP006818.1	134982	135194	-	213	11120
ZCP4_0120	CP006818.1	135539	137059	-	1521	18491
ZCP4_0121	CP006818.1	137187	137666	-	480	1719
ZCP4_0122	CP006818.1	137944	139467	+	1524	79049
ZCP4_0123	CP006818.1	139630	140976	+	1347	70698
ZCP4_0125	CP006818.1	141443	143401	+	1959	54015
ZCP4_0127	CP006818.1	144331	145320	-	990	1291
ZCP4_0128	CP006818.1	145390	146340	+	951	763
ZCP4_0129	CP006818.1	146300	146404	-	105	22
ZCP4_0130	CP006818.1	146829	147146	+	318	2969
ZCP4_0131	CP006818.1	147523	148254	-	732	9596
ZCP4_0132	CP006818.1	148251	148721	-	471	10190
ZCP4_0133	CP006818.1	148726	150015	-	1290	65286
ZCP4_0134	CP006818.1	150035	150508	-	474	27553
ZCP4_0135	CP006818.1	150727	151941	-	1215	131000
ZCP4_0136	CP006818.1	152077	152907	-	831	2165
