# Program:featureCounts v2.0.6; Command:"featureCounts" "-p" "-B" "-C" "-P" "--fracOverlap" "0.5" "-T" "4" "-s" "2" "-a" "all.gff" "-t" "CDS" "-g" "locus_tag" "-o" "SRX5329182_cds.txt" "SRX5329182.bam" 
Geneid	Chr	Start	End	Strand	Length	SRX5329182.bam
ZCP4_0001	CP006818.1	520	1974	+	1455	5143
ZCP4_0002	CP006818.1	2069	3934	+	1866	6951
ZCP4_0003	CP006818.1	4350	5450	+	1101	69569
ZCP4_0004	CP006818.1	5634	6194	+	561	14001
ZCP4_0005	CP006818.1	6426	7154	+	729	146998
ZCP4_0006	CP006818.1	7245	8249	-	1005	5060
ZCP4_0007	CP006818.1	8262	9023	-	762	8887
ZCP4_0008	CP006818.1	9136	9966	+	831	19395
ZCP4_0009	CP006818.1	10032	11045	+	1014	21654
ZCP4_0010	CP006818.1	11083	12039	+	957	9047
ZCP4_0011	CP006818.1	12107	14710	+	2604	10392
ZCP4_0012	CP006818.1	14834	15679	-	846	51337
ZCP4_0014	CP006818.1	16530	17450	+	921	4812
ZCP4_0015	CP006818.1	17832	19130	+	1299	2156
ZCP4_0016	CP006818.1	19159	19773	+	615	2759
ZCP4_0017	CP006818.1	19777	20484	-	708	1561
ZCP4_0018	CP006818.1	20616	21527	+	912	541
ZCP4_0019	CP006818.1	21668	22270	-	603	4687
ZCP4_0020	CP006818.1	22550	23164	-	615	3235
ZCP4_0021	CP006818.1	23882	26695	-	2814	16798
ZCP4_0022	CP006818.1	27020	27796	-	777	2876
ZCP4_0023	CP006818.1	27849	28655	-	807	3991
ZCP4_0024	CP006818.1	28673	28945	-	273	2722
ZCP4_0025	CP006818.1	28942	29346	-	405	6010
ZCP4_0026	CP006818.1	29354	30325	-	972	10851
ZCP4_0027	CP006818.1	30348	30839	-	492	410
ZCP4_0028	CP006818.1	30982	32619	-	1638	14592
ZCP4_0029	CP006818.1	32588	33295	-	708	5295
ZCP4_0030	CP006818.1	33572	35029	+	1458	25906
ZCP4_0031	CP006818.1	35065	36291	+	1227	3205
ZCP4_0032	CP006818.1	36500	37090	+	591	3685
ZCP4_0033	CP006818.1	37594	38316	+	723	4455
ZCP4_0034	CP006818.1	38321	39091	+	771	2455
ZCP4_0035	CP006818.1	39177	40511	+	1335	1000
ZCP4_0036	CP006818.1	40528	41397	+	870	5345
ZCP4_0037	CP006818.1	41409	42245	-	837	2802
ZCP4_0038	CP006818.1	42256	43263	-	1008	12575
ZCP4_0039	CP006818.1	43305	44720	-	1416	26377
ZCP4_0040	CP006818.1	44839	47163	-	2325	5717
ZCP4_0041	CP006818.1	47548	49032	+	1485	47866
ZCP4_0042	CP006818.1	49044	49490	+	447	4602
ZCP4_0043	CP006818.1	49583	51106	-	1524	1574
ZCP4_0044	CP006818.1	51400	52149	+	750	282
ZCP4_0045	CP006818.1	52355	52570	+	216	5222
ZCP4_0046	CP006818.1	52699	53208	+	510	11020
ZCP4_0047	CP006818.1	53259	54113	+	855	4505
ZCP4_0048	CP006818.1	54240	54890	-	651	712
ZCP4_0049	CP006818.1	55066	57483	-	2418	2531
ZCP4_0050	CP006818.1	58120	58878	+	759	1748
ZCP4_0051	CP006818.1	58918	59571	-	654	925
ZCP4_0052	CP006818.1	59568	60521	-	954	2750
ZCP4_0053	CP006818.1	60766	60900	-	135	1
ZCP4_0054	CP006818.1	61190	62800	+	1611	780
ZCP4_0055	CP006818.1	62993	63241	+	249	4383
ZCP4_0056	CP006818.1	63349	64470	-	1122	3701
ZCP4_0057	CP006818.1	64876	65472	+	597	1719
ZCP4_0058	CP006818.1	65491	67128	+	1638	2579
ZCP4_0059	CP006818.1	67121	68563	+	1443	1478
ZCP4_0060	CP006818.1	68586	69710	-	1125	3835
ZCP4_0061	CP006818.1	70267	70503	+	237	21732
ZCP4_0062	CP006818.1	70693	71955	+	1263	21444
ZCP4_0063	CP006818.1	71989	72960	+	972	3423
ZCP4_0064	CP006818.1	73164	73403	-	240	4978
ZCP4_0065	CP006818.1	73436	74674	-	1239	22450
ZCP4_0066	CP006818.1	75002	76612	+	1611	3410
ZCP4_0067	CP006818.1	76662	78071	-	1410	6079
ZCP4_0068	CP006818.1	78304	79170	+	867	5940
ZCP4_0069	CP006818.1	79300	80511	-	1212	76811
ZCP4_0070	CP006818.1	80573	80821	-	249	17369
ZCP4_0071	CP006818.1	81087	82106	+	1020	28155
ZCP4_0072	CP006818.1	82185	83765	-	1581	21354
ZCP4_0073	CP006818.1	83985	84641	-	657	1225
ZCP4_0074	CP006818.1	84652	85833	-	1182	1924
ZCP4_0075	CP006818.1	85871	86593	-	723	443
ZCP4_0076	CP006818.1	86594	87427	-	834	343
ZCP4_0077	CP006818.1	87372	88430	-	1059	481
ZCP4_0078	CP006818.1	88616	90868	-	2253	1422
ZCP4_0079	CP006818.1	91468	92184	+	717	2643
ZCP4_0080	CP006818.1	92181	92345	+	165	787
ZCP4_0081	CP006818.1	92369	92809	+	441	1367
ZCP4_0082	CP006818.1	92811	94757	+	1947	4150
ZCP4_0083	CP006818.1	94754	95284	+	531	1308
ZCP4_0084	CP006818.1	95281	95709	+	429	554
ZCP4_0085	CP006818.1	95706	96347	+	642	3081
ZCP4_0086	CP006818.1	96379	96867	+	489	2664
ZCP4_0087	CP006818.1	97098	97541	+	444	47
ZCP4_0088	CP006818.1	97831	98319	+	489	982
ZCP4_0089	CP006818.1	98988	99113	-	126	807
ZCP4_0090	CP006818.1	99408	100205	+	798	2235
ZCP4_0091	CP006818.1	100202	101344	+	1143	4312
