ZMO1_ZMOp39x030	53a7f2c972ef51875748cee6da1ce9bb	741	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	27	-	T	30-04-2025	-	-	-	-
ZMO1_ZMOp39x024	c2f136c7ba06b017f77c72ebca7a7132	255	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	27	-	T	30-04-2025	-	-	-	-
ZMO1_ZMOp39x024	c2f136c7ba06b017f77c72ebca7a7132	255	SignalP_EUK	SignalP-noTM	SignalP-noTM	1	20	-	T	30-04-2025	-	-	-	-
ZMO1_ZMOp39x024	c2f136c7ba06b017f77c72ebca7a7132	255	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM	1	20	-	T	30-04-2025	-	-	-	-
ZMO1_ZMOp39x027	c27a167ef13e4e8aa73f6e4a131b80ea	4887	Phobius	SIGNAL_PEPTIDE_N_REGION	N-terminal region of a signal peptide.	1	2	-	T	30-04-2025	-	-	-	-
ZMO1_ZMOp39x027	c27a167ef13e4e8aa73f6e4a131b80ea	4887	SignalP_EUK	SignalP-noTM	SignalP-noTM	1	28	-	T	30-04-2025	-	-	-	-
ZMO1_ZMOp39x027	c27a167ef13e4e8aa73f6e4a131b80ea	4887	Phobius	SIGNAL_PEPTIDE_H_REGION	Hydrophobic region of a signal peptide.	3	14	-	T	30-04-2025	-	-	-	-
ZMO1_ZMOp39x027	c27a167ef13e4e8aa73f6e4a131b80ea	4887	Phobius	NON_CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.	20	4887	-	T	30-04-2025	-	-	-	-
ZMO1_ZMOp39x027	c27a167ef13e4e8aa73f6e4a131b80ea	4887	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM	1	28	-	T	30-04-2025	-	-	-	-
ZMO1_ZMOp39x027	c27a167ef13e4e8aa73f6e4a131b80ea	4887	Phobius	SIGNAL_PEPTIDE	Signal peptide region	1	19	-	T	30-04-2025	-	-	-	-
ZMO1_ZMOp39x027	c27a167ef13e4e8aa73f6e4a131b80ea	4887	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	45	-	T	30-04-2025	-	-	-	-
ZMO1_ZMOp39x027	c27a167ef13e4e8aa73f6e4a131b80ea	4887	Phobius	SIGNAL_PEPTIDE_C_REGION	C-terminal region of a signal peptide.	15	19	-	T	30-04-2025	-	-	-	-
ZMO1_ZMOp39x025	d62242dfc0b416d28c8053162d04f2bd	219	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	27	-	T	30-04-2025	-	-	-	-
ZMO1_ZMOp39x036	e8faff0260c626b624c63ab680dce70e	318	Phobius	SIGNAL_PEPTIDE_C_REGION	C-terminal region of a signal peptide.	16	20	-	T	30-04-2025	-	-	-	-
ZMO1_ZMOp39x036	e8faff0260c626b624c63ab680dce70e	318	SignalP_EUK	SignalP-noTM	SignalP-noTM	1	22	-	T	30-04-2025	-	-	-	-
ZMO1_ZMOp39x036	e8faff0260c626b624c63ab680dce70e	318	Phobius	NON_CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.	21	318	-	T	30-04-2025	-	-	-	-
ZMO1_ZMOp39x036	e8faff0260c626b624c63ab680dce70e	318	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	22	-	T	30-04-2025	-	-	-	-
ZMO1_ZMOp39x036	e8faff0260c626b624c63ab680dce70e	318	Phobius	SIGNAL_PEPTIDE_N_REGION	N-terminal region of a signal peptide.	1	3	-	T	30-04-2025	-	-	-	-
ZMO1_ZMOp39x036	e8faff0260c626b624c63ab680dce70e	318	Phobius	SIGNAL_PEPTIDE_H_REGION	Hydrophobic region of a signal peptide.	4	15	-	T	30-04-2025	-	-	-	-
ZMO1_ZMOp39x036	e8faff0260c626b624c63ab680dce70e	318	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM	1	22	-	T	30-04-2025	-	-	-	-
ZMO1_ZMOp39x036	e8faff0260c626b624c63ab680dce70e	318	Phobius	SIGNAL_PEPTIDE	Signal peptide region	1	20	-	T	30-04-2025	-	-	-	-
ZMO1_ZMOp39x034	66e86dfd859bad83ab503114d88ca1e6	450	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	20	-	T	30-04-2025	-	-	-	-
ZMO1_ZMOp39x034	66e86dfd859bad83ab503114d88ca1e6	450	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM	1	27	-	T	30-04-2025	-	-	-	-
ZMO1_ZMOp39x031	d4bb8156427523f72a1f6e801f4264c6	1086	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	54	-	T	30-04-2025	-	-	-	-
ZMO1_ZMOp39x037	68f0e40fa592867dc6b9e52157cb439c	222	Phobius	SIGNAL_PEPTIDE_C_REGION	C-terminal region of a signal peptide.	16	27	-	T	30-04-2025	-	-	-	-
ZMO1_ZMOp39x037	68f0e40fa592867dc6b9e52157cb439c	222	Phobius	SIGNAL_PEPTIDE	Signal peptide region	1	27	-	T	30-04-2025	-	-	-	-
ZMO1_ZMOp39x037	68f0e40fa592867dc6b9e52157cb439c	222	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM	1	21	-	T	30-04-2025	-	-	-	-
ZMO1_ZMOp39x037	68f0e40fa592867dc6b9e52157cb439c	222	Phobius	SIGNAL_PEPTIDE_N_REGION	N-terminal region of a signal peptide.	1	3	-	T	30-04-2025	-	-	-	-
ZMO1_ZMOp39x037	68f0e40fa592867dc6b9e52157cb439c	222	Phobius	SIGNAL_PEPTIDE_H_REGION	Hydrophobic region of a signal peptide.	4	15	-	T	30-04-2025	-	-	-	-
ZMO1_ZMOp39x037	68f0e40fa592867dc6b9e52157cb439c	222	Phobius	NON_CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.	28	222	-	T	30-04-2025	-	-	-	-
ZMO1_ZMOp39x037	68f0e40fa592867dc6b9e52157cb439c	222	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	42	-	T	30-04-2025	-	-	-	-
ZMO1_ZMOp39x033	ad2322f69ba43e248c7ee49a0a935248	252	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	37	-	T	30-04-2025	-	-	-	-
ZMO1_ZMOp39x028	0fa4b7cdfaa776ff982990b82fc37b38	204	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	23	-	T	30-04-2025	-	-	-	-
ZMO1_ZMOp39x028	0fa4b7cdfaa776ff982990b82fc37b38	204	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM	1	23	-	T	30-04-2025	-	-	-	-
ZMO1_ZMOp39x032	01a76296cda6c37c1375283964aef9c1	1434	SignalP_EUK	SignalP-noTM	SignalP-noTM	1	20	-	T	30-04-2025	-	-	-	-
ZMO1_ZMOp39x032	01a76296cda6c37c1375283964aef9c1	1434	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM	1	27	-	T	30-04-2025	-	-	-	-
ZMO1_ZMOp39x032	01a76296cda6c37c1375283964aef9c1	1434	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	27	-	T	30-04-2025	-	-	-	-
