ZMO1_ZMO1607	c08f3b28c0ad72352b6ee8db4c99b83f	369	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	33	-	T	30-04-2025	-	-	-	-
ZMO1_ZMO1495	1f5eea3c7744f5f3f941ebc62cacf2b7	570	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	25	-	T	30-04-2025	-	-	-	-
ZMO1_ZMO1543	7776214ad7dc474d69e1f3c0f1e81356	1863	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	28	-	T	30-04-2025	-	-	-	-
ZMO1_ZMO1543	7776214ad7dc474d69e1f3c0f1e81356	1863	SignalP_EUK	SignalP-noTM	SignalP-noTM	1	25	-	T	30-04-2025	-	-	-	-
ZMO1_ZMO1530	f5db5e6928db121eb534694c9f28d351	1011	SignalP_EUK	SignalP-noTM	SignalP-noTM	1	21	-	T	30-04-2025	-	-	-	-
ZMO1_ZMO1530	f5db5e6928db121eb534694c9f28d351	1011	Phobius	SIGNAL_PEPTIDE_H_REGION	Hydrophobic region of a signal peptide.	4	16	-	T	30-04-2025	-	-	-	-
ZMO1_ZMO1530	f5db5e6928db121eb534694c9f28d351	1011	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	21	-	T	30-04-2025	-	-	-	-
ZMO1_ZMO1530	f5db5e6928db121eb534694c9f28d351	1011	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM	1	21	-	T	30-04-2025	-	-	-	-
ZMO1_ZMO1530	f5db5e6928db121eb534694c9f28d351	1011	Phobius	SIGNAL_PEPTIDE_N_REGION	N-terminal region of a signal peptide.	1	3	-	T	30-04-2025	-	-	-	-
ZMO1_ZMO1530	f5db5e6928db121eb534694c9f28d351	1011	Phobius	SIGNAL_PEPTIDE_C_REGION	C-terminal region of a signal peptide.	17	21	-	T	30-04-2025	-	-	-	-
ZMO1_ZMO1530	f5db5e6928db121eb534694c9f28d351	1011	Phobius	NON_CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.	22	1011	-	T	30-04-2025	-	-	-	-
ZMO1_ZMO1530	f5db5e6928db121eb534694c9f28d351	1011	Phobius	SIGNAL_PEPTIDE	Signal peptide region	1	21	-	T	30-04-2025	-	-	-	-
ZMO1_ZMO1541	80e6a6c19e60dbbfbbaa5eee59a4a748	1926	Phobius	SIGNAL_PEPTIDE	Signal peptide region	1	22	-	T	30-04-2025	-	-	-	-
